name,vote_rate,vote_count,location,type,cuisine,cost_2pax
onesta,4.6,2556,banashankari,casual dining,pizza,600.0
hotboxit,3.8,36,banashankari,delivery,north indian,400.0
kitchen garden,3.6,244,kumaraswamy layout,quick bites,north indian,300.0
recipe,4.0,804,kumaraswamy layout,casual dining,north indian,450.0
beijing bites,3.7,679,rajarajeshwari nagar,casual dining,chinese,850.0
tasty bytes,3.1,245,kumaraswamy layout,quick bites,north indian,300.0
petoo,3.7,21,banashankari,quick bites,north indian,450.0
shree cool point,4.1,28,vijay nagar,quick bites,fast food,150.0
corner house ice cream,4.3,345,banashankari,dessert parlor,ice cream,400.0
biryanis and more,4.0,618,jayanagar,casual dining,biryani,750.0
roving feast,4.0,1047,banashankari,quick bites,italian,450.0
freshmenu,3.9,627,banashankari,delivery,healthy food,450.0
banashankari donne biriyani,3.8,104,banashankari,quick bites,biryani,300.0
wamama,4.2,354,banashankari,casual dining,asian,800.0
five star chicken,3.6,55,banashankari,quick bites,fast food,200.0
xo belgian waffle,3.7,17,banashankari,dessert parlor,desserts,400.0
peppy peppers,4.2,244,banashankari,casual dining,italian,800.0
goa 0 km,3.6,163,kumaraswamy layout,casual dining,goan,800.0
chinese kitchen,3.8,58,basavanagudi,quick bites,chinese,150.0
1947,4.0,808,banashankari,casual dining,north indian,850.0
cake of the day,3.7,78,banashankari,bakery,bakery,150.0
kabab magic,4.1,1720,basavanagudi,quick bites,north indian,400.0
namma brahmin's idli,3.6,34,jayanagar,quick bites,south indian,100.0
gustoes beer house,4.1,868,banashankari,pub,continental,1200.0
sugar rush,3.8,39,banashankari,bakery,bakery,300.0
burger king,3.2,71,basavanagudi,quick bites,burger,600.0
the good bowl,3.6,6,banashankari,takeaway,italian,500.0
the biryani cafe,4.1,520,banashankari,quick bites,biryani,300.0
lsd cafe,2.9,84,banashankari,delivery,chinese,700.0
rolls on wheels,3.6,299,banashankari,quick bites,fast food,300.0
sri guru kottureshwara davangere benne dosa,4.1,558,basavanagudi,quick bites,south indian,150.0
devanna dum biriyani centre,3.6,28,banashankari,quick bites,biryani,300.0
kolbeh,3.7,22,banashankari,quick bites,fast food,500.0
upahar sagar,3.8,39,banashankari,quick bites,south indian,350.0
kadalu sea food restaurant,3.8,153,vijay nagar,fine dining,seafood,500.0
frozen bottle,4.2,146,banashankari,beverage shop,beverages,400.0
parimala sweets,3.5,14,banashankari,sweet shop,mithai,200.0
vaishali deluxe,3.8,42,banashankari,casual dining,north indian,700.0
the big o bakes,4.0,66,banashankari,bakery,bakery,300.0
meghana foods,4.4,4401,jayanagar,casual dining,biryani,600.0
krishna sagar,3.5,31,banashankari,quick bites,north indian,200.0
dessert rose,3.5,7,banashankari,dessert parlor,desserts,500.0
chickpet donne biryani house,3.7,21,banashankari,quick bites,biryani,250.0
thanco's natural ice creams,3.2,9,banashankari,dessert parlor,ice cream,300.0
nandhini deluxe,2.6,283,banashankari,casual dining,north indian,600.0
vi ra's bar and restaurant,3.3,62,banashankari,bar,south indian,800.0
kaggis,3.8,64,banashankari,quick bites,fast food,250.0
ayda persian kitchen,3.7,39,banashankari,casual dining,north indian,950.0
chatar patar,3.7,65,banashankari,quick bites,fast food,300.0
polar bear,3.8,71,basavanagudi,dessert parlor,ice cream,400.0
kidambi's kitchen,3.5,52,banashankari,quick bites,south indian,300.0
mane thindi,3.7,130,banashankari,quick bites,south indian,200.0
kotian karavali restaurant,3.5,10,banashankari,quick bites,south indian,300.0
floured-baked with love,3.8,45,banashankari,takeaway,bakery,400.0
cafe nova,3.2,11,banashankari,cafe,cafe,600.0
cakes & slices,3.5,13,banashankari,bakery,bakery,300.0
spice 9,3.4,8,banashankari,quick bites,biryani,300.0
naveen kabab & biriyani mane,3.2,9,banashankari,quick bites,biryani,300.0
katriguppe donne biryani,3.2,4,banashankari,quick bites,north indian,300.0
atithi point ande ka funda,3.1,29,banashankari,quick bites,north indian,150.0
just bake,3.4,8,banashankari,bakery,bakery,400.0
k27 - the pub,3.1,30,banashankari,bar,chinese,1000.0
bengaluru coffee house,4.1,201,banashankari,quick bites,south indian,300.0
new mangalore lunch home,3.3,7,banashankari,quick bites,mangalorean,200.0
coffee bytes,3.1,6,banashankari,quick bites,fast food,100.0
parjanya chat zone,3.3,17,banashankari,quick bites,street food,200.0
kwality wall's swirl's happiness station,2.9,25,banashankari,dessert parlor,ice cream,200.0
ruchi maayaka,3.3,8,banashankari,delivery,south indian,100.0
anna kuteera,4.0,771,banashankari,casual dining,south indian,450.0
darbar,3.0,98,banashankari,bar,north indian,800.0
vijayalakshmi,3.9,47,basavanagudi,quick bites,south indian,200.0
sri udupi food hub,4.1,175,jayanagar,casual dining,south indian,500.0
udupi upahar,3.8,58,banashankari,quick bites,south indian,300.0
house of kebabs,3.8,540,basavanagudi,casual dining,north indian,650.0
roll n rock,3.8,124,kumaraswamy layout,quick bites,chinese,400.0
box8- desi meals,4.1,340,banashankari,takeaway,north indian,500.0
kfc,3.8,505,banashankari,quick bites,burger,450.0
roll over,4.1,438,jayanagar,dessert parlor,desserts,500.0
imperial restaurant,3.7,264,mysore road,casual dining,north indian,750.0
lassi shop,3.9,169,kumaraswamy layout,beverage shop,beverages,150.0
the fortuna,3.0,67,kumaraswamy layout,quick bites,north indian,250.0
wahab,3.7,97,jayanagar,quick bites,north indian,350.0
al diwan biryanis and more,3.3,12,basavanagudi,takeaway,biryani,300.0
new gowda's fried chicken,3.3,12,banashankari,quick bites,biryani,300.0
canton,3.6,195,jayanagar,casual dining,chinese,800.0
diabetics dezire sugarless sweets and bakes,3.3,13,basavanagudi,dessert parlor,desserts,300.0
the blue wagon - kitchen,4.6,228,jayanagar,cafe,cafe,400.0
hot coffee,4.1,70,basavanagudi,quick bites,south indian,150.0
patio 805,4.1,364,jayanagar,casual dining,thai,1200.0
lassi corner,3.7,107,basavanagudi,beverage shop,beverages,150.0
sagar deluxe,3.2,167,kumaraswamy layout,quick bites,south indian,300.0
kanti sweets,4.0,115,banashankari,sweet shop,mithai,400.0
vegetalia,3.7,27,banashankari,takeaway,italian,400.0
aramane donne biryani,3.5,57,banashankari,quick bites,biryani,200.0
ande ka funda,3.8,120,banashankari,quick bites,north indian,250.0
cake ghar,3.8,15,basavanagudi,bakery,bakery,400.0
energy addaa,4.2,64,basavanagudi,quick bites,salad,500.0
bhattara bhojana,3.6,66,banashankari,quick bites,south indian,150.0
tandoori knight,3.0,290,banashankari,quick bites,north indian,450.0
dev sagar - food street,4.1,233,basavanagudi,quick bites,street food,200.0
mitraa da pizza,3.8,115,kumaraswamy layout,quick bites,fast food,250.0
paradise premium,3.1,119,banashankari,casual dining,biryani,700.0
grazers,3.9,291,jayanagar,cafe,cafe,650.0
shakes theory,4.5,155,jayanagar,beverage shop,beverages,300.0
@italy,4.1,305,kumaraswamy layout,casual dining,italian,700.0
chilli flakes,3.6,46,banashankari,quick bites,fast food,500.0
calcutta cafe,3.5,45,kumaraswamy layout,quick bites,bengali,350.0
old mumbai ice cream,3.9,38,banashankari,dessert parlor,ice cream,150.0
donne biriyani house,3.9,441,banashankari,quick bites,south indian,400.0
by 2 coffee,3.9,25,basavanagudi,quick bites,south indian,100.0
kedia's fun food,4.3,630,jayanagar,quick bites,north indian,200.0
davangere butter dosa hotel,3.8,25,kumaraswamy layout,quick bites,south indian,150.0
just shawarma,3.9,160,kumaraswamy layout,quick bites,arabian,300.0
mini punjabi dhaba,4.2,287,banashankari,quick bites,north indian,350.0
mulabagilu dosa,3.6,11,basavanagudi,quick bites,south indian,100.0
cafãâãâãâãâãâãâãâãâ© down the alley,4.1,402,banashankari,cafe,cafe,500.0
gokul veg,3.8,469,basavanagudi,casual dining,north indian,750.0
olive - era,3.3,511,kumaraswamy layout,casual dining,bbq,550.0
udupi ruchi,3.9,57,banashankari,quick bites,south indian,200.0
madhappa hindu military hotel,3.4,14,banashankari,quick bites,south indian,300.0
gama gama,3.9,264,banashankari,quick bites,south indian,200.0
the vintage cafe,3.0,62,banashankari,cafe,cafe,400.0
pizza hut,3.8,693,banashankari,casual dining,pizza,750.0
mangalore pearl,3.8,242,jayanagar,casual dining,mangalorean,650.0
asha sweets centre,3.6,27,basavanagudi,dessert parlor,fast food,250.0
twiststick house,4.1,163,basavanagudi,quick bites,continental,500.0
cool corner,4.2,191,basavanagudi,quick bites,street food,250.0
pizza mane,3.5,32,banashankari,quick bites,pizza,150.0
dal tadkaa,2.5,247,banashankari,casual dining,north indian,500.0
chutney chang,4.1,2339,jayanagar,casual dining,north indian,1500.0
mystique palate,4.1,337,jayanagar,quick bites,chinese,300.0
thamboola,3.9,135,banashankari,casual dining,north indian,800.0
castle rock,3.6,172,uttarahalli,casual dining,north indian,700.0
vietnamese kitchen,3.6,105,banashankari,casual dining,vietnamese,700.0
smacznego,4.2,504,banashankari,cafe,cafe,550.0
c corner,3.2,36,kumaraswamy layout,quick bites,fast food,200.0
paratha merchant,3.1,39,kumaraswamy layout,quick bites,north indian,300.0
north rasoe,3.1,5,kumaraswamy layout,casual dining,north indian,500.0
toscano,4.3,1129,jayanagar,casual dining,italian,1300.0
lord of the kitchen,3.9,56,kumaraswamy layout,quick bites,north indian,350.0
stoned monkey,4.3,860,banashankari,dessert parlor,desserts,500.0
central jail restaurant,3.8,412,jayanagar,casual dining,andhra,700.0
bella,3.9,142,jayanagar,casual dining,mangalorean,1000.0
vennela andhra meals,3.0,23,jayanagar,quick bites,andhra,400.0
new prashanth hotel,3.6,143,jayanagar,casual dining,south indian,750.0
the grillo,2.8,80,jayanagar,casual dining,south indian,500.0
re malnad nati style hotel,3.6,16,jp nagar,casual dining,south indian,400.0
karma kaapi,4.4,181,jayanagar,beverage shop,beverages,250.0
tiwari's,3.8,70,jayanagar,quick bites,north indian,200.0
pizza stop,3.8,164,basavanagudi,quick bites,pizza,600.0
biggies burger 'n' more,3.6,58,kumaraswamy layout,quick bites,cafe,650.0
srinathji's cafe,3.8,148,basavanagudi,casual dining,north indian,550.0
kollapuri's,3.9,206,basavanagudi,quick bites,south indian,450.0
kadamba classic,3.6,16,mysore road,quick bites,south indian,300.0
rs shiv sagar,3.7,217,basavanagudi,casual dining,north indian,450.0
kholi mane,3.6,46,basavanagudi,quick bites,andhra,450.0
harshi super sandwich,3.8,148,basavanagudi,quick bites,fast food,150.0
cake yard,3.4,30,basavanagudi,dessert parlor,desserts,250.0
rosewood international hotel - bar & restaurant,3.6,8,mysore road,casual dining,north indian,800.0
sri udupi veg,3.3,4,jayanagar,quick bites,south indian,250.0
cake art,3.5,15,basavanagudi,bakery,bakery,400.0
potato house,3.4,9,uttarahalli,quick bites,street food,200.0
matru sagar,3.7,31,mysore road,quick bites,south indian,300.0
ugadi,2.9,177,jayanagar,casual dining,north indian,700.0
sri krishna sweets,3.7,22,basavanagudi,sweet shop,mithai,250.0
in time cane juice,3.5,10,kumaraswamy layout,beverage shop,juices,100.0
subway,3.7,136,banashankari,quick bites,salad,600.0
daal roti,2.9,35,kumaraswamy layout,quick bites,north indian,250.0
the lassi park,4.1,185,jayanagar,quick bites,juices,200.0
cafe coffee day,3.2,17,jayanagar,cafe,cafe,900.0
a2b - adyar ananda bhavan,3.8,155,mysore road,casual dining,south indian,400.0
srikrishna bhavan,3.8,42,banashankari,quick bites,south indian,300.0
timepass dinner,3.8,286,basavanagudi,casual dining,north indian,600.0
green gardenia,3.8,160,banashankari,casual dining,north indian,700.0
j spice,3.8,59,banashankari,casual dining,north indian,750.0
karavali family restaurant,3.5,90,jayanagar,casual dining,seafood,500.0
karavali lunch home,3.7,51,kumaraswamy layout,quick bites,south indian,350.0
hatti kaapi,4.0,89,jayanagar,quick bites,south indian,200.0
kolkata kathi roll's,3.6,18,banashankari,quick bites,fast food,250.0
upahara darshini,3.9,40,basavanagudi,casual dining,north indian,600.0
the chaat shop,2.5,35,basavanagudi,quick bites,fast food,200.0
anda ka funda,3.4,89,jayanagar,quick bites,north indian,250.0
shri vinayaka ice n juice,3.2,11,basavanagudi,quick bites,beverages,150.0
my tea house,3.6,62,banashankari,quick bites,italian,600.0
ibaco,3.9,33,jayanagar,dessert parlor,desserts,300.0
jalaram sweets,3.8,32,jayanagar,sweet shop,desserts,250.0
samskruti - sanman gardenia,4.1,139,jayanagar,casual dining,north indian,550.0
bendakaluru bytes,3.2,154,vijay nagar,quick bites,fast food,300.0
cocoa bakes,3.6,14,banashankari,bakery,bakery,350.0
chumma delicious,3.7,237,banashankari,quick bites,south indian,200.0
new prashanth hotel,3.9,388,banashankari,casual dining,biryani,650.0
dwaraka grand,3.9,128,kumaraswamy layout,casual dining,south indian,500.0
gufha - the president hotel,4.1,1875,jayanagar,casual dining,north indian,1200.0
cafe vivacity,3.8,90,banashankari,cafe,cafe,650.0
tanna's kitchen,3.1,7,kumaraswamy layout,quick bites,italian,250.0
shree mandarathi grand,3.7,38,uttarahalli,casual dining,south indian,400.0
mojo pizza - 2x toppings,4.2,179,banashankari,delivery,pizza,600.0
iceberg icecreams,4.0,43,basavanagudi,dessert parlor,desserts,250.0
south kitchen,4.3,275,basavanagudi,quick bites,south indian,100.0
chung wah,3.7,323,jayanagar,casual dining,chinese,850.0
shanthi sagar,3.1,28,uttarahalli,casual dining,south indian,400.0
millet mama,3.9,18,basavanagudi,quick bites,south indian,200.0
bangarpet chat express,3.3,6,basavanagudi,quick bites,street food,100.0
prems graama bhojanam,4.3,322,jayanagar,casual dining,south indian,400.0
java city,2.6,157,jayanagar,cafe,cafe,450.0
kamat bugle rock,3.9,543,basavanagudi,quick bites,south indian,300.0
woodee pizza,3.7,180,banashankari,cafe,cafe,500.0
puliyogare point,4.2,444,basavanagudi,quick bites,south indian,100.0
bangalore agarwal bhavan,3.9,134,jayanagar,quick bites,street food,400.0
rustic stove,3.8,577,jayanagar,casual dining,north indian,900.0
udupi ruchi grand,4.2,60,banashankari,quick bites,south indian,200.0
de thaali,3.9,144,jayanagar,casual dining,north indian,550.0
spice elephant,4.1,787,banashankari,casual dining,chinese,800.0
just thindi,3.6,16,basavanagudi,quick bites,south indian,200.0
matru sagar,3.6,84,banashankari,quick bites,south indian,250.0
vasanth vihar - since 1965,3.6,95,banashankari,quick bites,south indian,150.0
sea spice by 7 star,4.0,349,banashankari,casual dining,seafood,1200.0
desi dawat,3.7,248,kumaraswamy layout,quick bites,north indian,400.0
cafe aira,4.1,216,basavanagudi,cafe,cafe,500.0
penthouse cafe,4.0,324,banashankari,cafe,cafe,700.0
mast punjabi,2.6,231,kumaraswamy layout,quick bites,north indian,400.0
south grand,3.4,102,uttarahalli,casual dining,south indian,400.0
catch-up-ino,3.9,133,banashankari,cafe,cafe,800.0
the pizzeria,2.8,45,banashankari,casual dining,pizza,800.0
cafe zone,3.9,149,kumaraswamy layout,quick bites,fast food,300.0
ruchis point,3.8,75,banashankari,quick bites,fast food,200.0
firangi bake,4.0,53,rajarajeshwari nagar,delivery,mexican,600.0
the royal corner - pai viceroy,4.2,815,jayanagar,casual dining,north indian,900.0
hara fine dine,4.0,633,banashankari,casual dining,north indian,800.0
chocoberry,3.5,56,jayanagar,dessert parlor,ice cream,400.0
dakshin grand,3.0,82,banashankari,quick bites,south indian,300.0
sandwichwallas,3.7,35,jayanagar,quick bites,fast food,200.0
chai mane,3.6,20,basavanagudi,quick bites,juices,150.0
slv upachar,3.1,14,kumaraswamy layout,quick bites,south indian,250.0
waffle-a-go go,3.9,70,banashankari,dessert parlor,fast food,400.0
cross road cafe,3.9,91,jayanagar,cafe,cafe,300.0
anand donne biriyani,3.6,45,jayanagar,quick bites,biryani,200.0
seven star,3.4,7,banashankari,quick bites,north indian,250.0
stop 'n' joy,3.8,28,banashankari,quick bites,fast food,150.0
sri yaksha shiv sagar,3.6,24,banashankari,casual dining,north indian,600.0
fudge,3.8,36,basavanagudi,dessert parlor,desserts,200.0
just bunny,3.5,11,jayanagar,quick bites,fast food,200.0
bakers town,3.8,77,kumaraswamy layout,cafe,cafe,650.0
shree mahalakshmi sweets,3.2,8,banashankari,sweet shop,mithai,100.0
kaapi kendra,3.7,14,jayanagar,quick bites,south indian,100.0
ivy,3.8,210,kumaraswamy layout,casual dining,north indian,600.0
the airos,4.1,130,jayanagar,cafe,cafe,650.0
chai kraft,4.1,30,jayanagar,beverage shop,beverages,100.0
kirthi's biryani,3.8,144,banashankari,cafe,chinese,700.0
south point pub,3.4,11,basavanagudi,bar,north indian,800.0
the trundle,3.7,133,jayanagar,casual dining,chinese,700.0
the krishna grand xpress,4.0,136,jayanagar,quick bites,south indian,350.0
sri krishna darshini,3.1,4,basavanagudi,quick bites,south indian,200.0
shringar sweets & snacks,3.5,11,basavanagudi,sweet shop,mithai,200.0
udupi grand,3.8,74,basavanagudi,quick bites,south indian,300.0
ganesh grand,3.7,30,basavanagudi,quick bites,south indian,300.0
shreyas upahar & burger point,3.0,7,basavanagudi,quick bites,south indian,200.0
coffee tindi,3.8,75,banashankari,cafe,cafe,200.0
little cafe,3.7,54,basavanagudi,cafe,cafe,600.0
mumbai badam milk & lassi center,3.6,23,basavanagudi,kiosk,beverages,100.0
sri krishna sagar,3.2,119,banashankari,casual dining,north indian,400.0
mylari biryani family restaurant,3.7,73,banashankari,quick bites,biryani,400.0
1980s games cafe,3.4,58,basavanagudi,cafe,cafe,400.0
kadala tarangaa,3.6,129,banashankari,casual dining,mangalorean,600.0
namma biryani,3.6,24,banashankari,quick bites,biryani,250.0
nandhanu's rasoi,3.0,175,kumaraswamy layout,quick bites,chinese,400.0
hotel pork paradise,3.7,21,mysore road,quick bites,south indian,300.0
as on fire,3.5,41,south bangalore,food truck,pizza,400.0
j k fish land,3.6,35,jayanagar,quick bites,seafood,300.0
curry leaves,4.1,176,basavanagudi,casual dining,andhra,800.0
lassi shop,3.5,45,banashankari,beverage shop,beverages,300.0
magic meals,3.7,47,jayanagar,quick bites,fast food,400.0
desi cream junction,3.7,36,jayanagar,casual dining,chinese,650.0
drunken monkey,3.8,52,kumaraswamy layout,beverage shop,beverages,400.0
ruchi's corner,2.7,123,banashankari,quick bites,fast food,200.0
tandoori bytes,3.6,59,kumaraswamy layout,casual dining,north indian,700.0
bangalore donne biriyani,3.2,4,kumaraswamy layout,quick bites,south indian,300.0
sgs non veg - gundu pulav,3.8,101,banashankari,quick bites,biryani,400.0
keventers,3.7,54,banashankari,beverage shop,desserts,400.0
navi food point,3.6,22,basavanagudi,quick bites,fast food,200.0
shawarma inc,3.1,31,banashankari,takeaway,rolls,250.0
the cafe nuts and bolts,3.0,29,kumaraswamy layout,cafe,cafe,500.0
am wow,3.4,6,jayanagar,beverage shop,beverages,100.0
lalbagh grand,3.0,22,basavanagudi,quick bites,south indian,250.0
funjabi curries,2.9,11,banashankari,quick bites,north indian,500.0
eat repeat,3.9,101,basavanagudi,quick bites,south indian,150.0
salut,4.1,442,jayanagar,pub,continental,1200.0
nammura donne biriyani,3.5,155,basavanagudi,quick bites,biryani,400.0
lassi stop,3.4,12,banashankari,beverage shop,beverages,150.0
dakshin kitchen,3.6,15,basavanagudi,quick bites,south indian,100.0
sri sai cafe,3.5,10,basavanagudi,quick bites,south indian,200.0
sri sai 99 variety dosa,3.8,25,banashankari,quick bites,south indian,300.0
utsav restaurant,3.8,61,banashankari,quick bites,north indian,300.0
crunch and munch,3.7,23,uttarahalli,quick bites,chinese,300.0
food geek,3.8,25,basavanagudi,quick bites,sandwich,350.0
sri krishna aramane,3.7,40,kumaraswamy layout,quick bites,south indian,200.0
great indian rolls,3.3,4,basavanagudi,quick bites,rolls,100.0
chats point,3.4,8,basavanagudi,quick bites,fast food,150.0
food point,3.5,32,kumaraswamy layout,quick bites,north indian,300.0
swarga ruchi,3.3,10,basavanagudi,quick bites,south indian,200.0
kolkata king,3.4,6,basavanagudi,quick bites,fast food,300.0
sandwich mama's and frozen monster,3.8,53,jayanagar,quick bites,ice cream,250.0
new rajadhani spicy,3.7,67,kumaraswamy layout,casual dining,north indian,700.0
big mishra pedha,2.9,23,jayanagar,sweet shop,mithai,250.0
vegeatz,3.4,19,banashankari,quick bites,south indian,200.0
foodizo,3.6,24,banashankari,quick bites,desserts,300.0
food springs,4.0,232,jayanagar,quick bites,south indian,400.0
chung's chinese corner,3.9,221,jayanagar,casual dining,chinese,700.0
eurasia pasta and barbeque by little italy,4.1,1063,jayanagar,casual dining,italian,1200.0
goli vada pav no. 1,3.7,93,basavanagudi,quick bites,street food,200.0
ragoo's,3.9,233,jayanagar,casual dining,italian,800.0
pure & natural,3.9,211,jayanagar,casual dining,fast food,500.0
maiyas,4.0,1778,jayanagar,quick bites,north indian,200.0
sip n dine,3.6,218,vijay nagar,casual dining,north indian,800.0
cafe mondo,3.7,514,basavanagudi,cafe,cafe,600.0
jalpaan,4.0,866,jayanagar,casual dining,north indian,900.0
kataria's pakwan,3.2,96,kumaraswamy layout,quick bites,north indian,400.0
juicy momos,3.5,80,banashankari,quick bites,tibetan,250.0
amande patisserie,4.0,73,basavanagudi,bakery,bakery,300.0
anand sweets and savouries,3.9,84,jayanagar,sweet shop,mithai,400.0
chicken hunt,3.5,88,banashankari,quick bites,south indian,350.0
swadesh tadka,3.5,179,banashankari,casual dining,north indian,600.0
cane-o-la,3.8,61,basavanagudi,quick bites,juices,100.0
new biryani mane,3.7,128,uttarahalli,casual dining,north indian,450.0
upahara darshini,3.8,339,jayanagar,quick bites,south indian,400.0
karnataka bhel house,4.1,449,basavanagudi,quick bites,street food,100.0
sreeraj lassi bar,4.1,210,jayanagar,dessert parlor,beverages,150.0
juice junction food court,3.7,57,basavanagudi,quick bites,juices,200.0
bunt's biriyani palace,3.0,213,banashankari,quick bites,north indian,400.0
chai point,3.2,208,jayanagar,beverage shop,tea,250.0
janahaar,3.8,70,banashankari,quick bites,south indian,100.0
redberrys,4.0,219,basavanagudi,cafe,cafe,600.0
utsav,3.7,59,banashankari,quick bites,north indian,200.0
meat and eat,3.1,10,banashankari,quick bites,fast food,500.0
snacks bite,3.0,9,kumaraswamy layout,quick bites,fast food,400.0
the spice saga,3.7,124,kumaraswamy layout,casual dining,biryani,750.0
dakshin cafe,3.7,19,kumaraswamy layout,quick bites,south indian,100.0
kaulige millet corner,3.3,4,basavanagudi,quick bites,healthy food,150.0
ifruit ice cream,3.3,4,kumaraswamy layout,dessert parlor,desserts,150.0
havmor,3.8,21,basavanagudi,dessert parlor,ice cream,200.0
grand food,3.4,8,banashankari,quick bites,south indian,250.0
dining hut,3.5,10,kumaraswamy layout,quick bites,north indian,400.0
desi swaad,3.5,10,kumaraswamy layout,quick bites,north indian,400.0
yummy momos,3.2,4,kumaraswamy layout,quick bites,momos,200.0
masale daan,3.1,4,banashankari,delivery,north indian,350.0
grow fit,3.6,16,jp nagar,takeaway,healthy food,500.0
sandwich hub,3.4,12,jayanagar,quick bites,fast food,300.0
udupi sri krishna cafe,3.9,14,jayanagar,casual dining,north indian,600.0
veganbreak24x7,2.8,5,city market,takeaway,south indian,199.0
aadhya hotel,3.3,5,basavanagudi,casual dining,south indian,800.0
dodda mane baaduta,3.5,15,banashankari,quick bites,north indian,250.0
swadd kitchen,3.4,4,basavanagudi,casual dining,north indian,500.0
happy chopsticks,3.6,17,basavanagudi,quick bites,chinese,300.0
udupi upachar,3.3,6,banashankari,quick bites,south indian,500.0
davanagere benne dose hut,3.4,10,banashankari,quick bites,south indian,100.0
jalsa,4.1,775,banashankari,casual dining,north indian,800.0
subz,4.2,2022,jayanagar,casual dining,north indian,1000.0
cafe shuffle,4.2,150,banashankari,cafe,cafe,600.0
mint and mustard,4.0,232,basavanagudi,casual dining,north indian,750.0
chinese square,3.9,38,basavanagudi,quick bites,chinese,200.0
punjabi raswada,3.5,431,jayanagar,casual dining,north indian,800.0
vinny's,4.2,2115,banashankari,casual dining,pizza,800.0
chetty's corner,3.4,30,uttarahalli,quick bites,fast food,200.0
kapoor's cafe,4.2,150,jayanagar,casual dining,north indian,800.0
donne biryani & kabab corner,3.3,12,kumaraswamy layout,quick bites,chinese,200.0
sukh sagar,3.8,155,jayanagar,casual dining,south indian,450.0
s m v snacks corner,3.7,33,basavanagudi,quick bites,fast food,200.0
andhra ruchulu,4.1,666,jayanagar,casual dining,andhra,1000.0
steaming mugs,3.9,240,basavanagudi,cafe,cafe,700.0
san churro cafe,3.8,918,banashankari,cafe,cafe,800.0
rajathadri food fort,4.0,465,jayanagar,casual dining,south indian,600.0
brew meister,4.1,970,jayanagar,microbrewery,north indian,1500.0
rasoi,3.3,128,banashankari,quick bites,north indian,300.0
mr. singh da dhaba,3.6,241,kumaraswamy layout,quick bites,north indian,300.0
kababs n biryani,3.4,22,banashankari,quick bites,south indian,200.0
ayodhya upachar,4.3,734,banashankari,quick bites,south indian,200.0
biriyani mane,3.8,130,jayanagar,quick bites,north indian,400.0
cafe ajfan,4.2,261,jayanagar,cafe,cafe,700.0
brundhavana food point,4.0,191,kumaraswamy layout,quick bites,south indian,300.0
slv corner restaurant,4.1,364,basavanagudi,casual dining,south indian,550.0
